Team 1,Team 2,Winner,Margin,Ground,Match Date,ODI No
England,India,India,133 runs,Cardiff,"Aug 27, 2014",ODI # 3517
Zimbabwe,South Africa,South Africa,61 runs,Harare,"Aug 29, 2014",ODI # 3518
Sri Lanka,Pakistan,Sri Lanka,7 wickets,Dambulla,"Aug 30, 2014",ODI # 3519
England,India,India,6 wickets,Nottingham,"Aug 30, 2014",ODI # 3520
Zimbabwe,Australia,Zimbabwe,3 wickets,Harare,"Aug 31, 2014",ODI # 3521
Australia,South Africa,Australia,62 runs,Harare,"Sep 2, 2014",ODI # 3522
England,India,India,9 wickets,Birmingham,"Sep 2, 2014",ODI # 3523
Zimbabwe,South Africa,South Africa,63 runs,Harare,"Sep 4, 2014",ODI # 3524
England,India,England,41 runs,Leeds,"Sep 5, 2014",ODI # 3525
Australia,South Africa,South Africa,6 wickets,Harare,"Sep 6, 2014",ODI # 3526
Ireland,Scotland,Ireland,7 wickets,Dublin (Malahide),"Sep 8, 2014",ODI # 3527
Ireland,Scotland,Ireland,3 wickets,Dublin (Malahide),"Sep 10, 2014",ODI # 3528
Ireland,Scotland,Scotland,8 wickets,Dublin (Malahide),"Sep 12, 2014",ODI # 3529
Australia,Pakistan,Australia,93 runs,Sharjah,"Oct 7, 2014",ODI # 3530
India,West Indies,West Indies,124 runs,Kochi,"Oct 8, 2014",ODI # 3531
Australia,Pakistan,Australia,5 wickets,Dubai (DSC),"Oct 10, 2014",ODI # 3532
India,West Indies,India,48 runs,Delhi,"Oct 11, 2014",ODI # 3533
Australia,Pakistan,Australia,1 run,Abu Dhabi,"Oct 12, 2014",ODI # 3534
India,West Indies,India,59 runs,Dharamsala,"Oct 17, 2014",ODI # 3535
New Zealand,South Africa,South Africa,6 wickets,Mount Maunganui,"Oct 21, 2014",ODI # 3536
New Zealand,South Africa,South Africa,72 runs,Mount Maunganui,"Oct 24, 2014",ODI # 3537
New Zealand,South Africa,no result,,Hamilton,"Oct 27, 2014",ODI # 3538
India,Sri Lanka,India,169 runs,Cuttack,"Nov 2, 2014",ODI # 3539
India,Sri Lanka,India,6 wickets,Ahmedabad,"Nov 6, 2014",ODI # 3540
Hong Kong,P.N.G.,P.N.G.,4 wickets,Townsville,"Nov 8, 2014",ODI # 3541
Hong Kong,P.N.G.,P.N.G.,3 wickets,Townsville,"Nov 9, 2014",ODI # 3542
India,Sri Lanka,India,6 wickets,Hyderabad (Deccan),"Nov 9, 2014",ODI # 3543
India,Sri Lanka,India,153 runs,Kolkata,"Nov 13, 2014",ODI # 3544
Australia,South Africa,Australia,32 runs,Perth,"Nov 14, 2014",ODI # 3545
Australia,South Africa,South Africa,3 wickets,Perth,"Nov 16, 2014",ODI # 3546
India,Sri Lanka,India,3 wickets,Ranchi,"Nov 16, 2014",ODI # 3547
Australia,South Africa,Australia,73 runs,Canberra,"Nov 19, 2014",ODI # 3548
Australia,South Africa,Australia,3 wickets,Melbourne,"Nov 21, 2014",ODI # 3549
Bangladesh,Zimbabwe,Bangladesh,87 runs,Chattogram,"Nov 21, 2014",ODI # 3550
Australia,South Africa,Australia,2 wickets,Sydney,"Nov 23, 2014",ODI # 3551
Bangladesh,Zimbabwe,Bangladesh,68 runs,Chattogram,"Nov 23, 2014",ODI # 3552
Bangladesh,Zimbabwe,Bangladesh,124 runs,Dhaka,"Nov 26, 2014",ODI # 3553
Sri Lanka,England,Sri Lanka,25 runs,Colombo (RPS),"Nov 26, 2014",ODI # 3554
Bangladesh,Zimbabwe,Bangladesh,21 runs,Dhaka,"Nov 28, 2014",ODI # 3555
U.A.E.,Afghanistan,U.A.E.,5 wickets,ICCA Dubai,"Nov 28, 2014",ODI # 3556
Sri Lanka,England,Sri Lanka,8 wickets,Colombo (RPS),"Nov 29, 2014",ODI # 3557
U.A.E.,Afghanistan,U.A.E.,6 wickets,ICCA Dubai,"Nov 30, 2014",ODI # 3558
Bangladesh,Zimbabwe,Bangladesh,5 wickets,Dhaka,"Dec 1, 2014",ODI # 3559
U.A.E.,Afghanistan,Afghanistan,2 wickets,ICCA Dubai,"Dec 2, 2014",ODI # 3560
Sri Lanka,England,England,5 wickets,Hambantota,"Dec 3, 2014",ODI # 3561
U.A.E.,Afghanistan,U.A.E.,30 runs,ICCA Dubai,"Dec 4, 2014",ODI # 3562
Sri Lanka,England,Sri Lanka,6 wickets,Colombo (RPS),"Dec 7, 2014",ODI # 3563
New Zealand,Pakistan,Pakistan,3 wickets,Dubai (DSC),"Dec 8, 2014",ODI # 3564
Sri Lanka,England,England,5 wickets,Pallekele,"Dec 10-11, 2014",ODI # 3565
New Zealand,Pakistan,New Zealand,4 wickets,Sharjah,"Dec 12, 2014",ODI # 3566
Sri Lanka,England,Sri Lanka,90 runs,Pallekele,"Dec 13, 2014",ODI # 3567
New Zealand,Pakistan,Pakistan,147 runs,Sharjah,"Dec 14, 2014",ODI # 3568
Sri Lanka,England,Sri Lanka,87 runs,Colombo (RPS),"Dec 16, 2014",ODI # 3569
New Zealand,Pakistan,New Zealand,7 runs,Abu Dhabi,"Dec 17, 2014",ODI # 3570
New Zealand,Pakistan,New Zealand,68 runs,Abu Dhabi,"Dec 19, 2014",ODI # 3571
Afghanistan,Scotland,Afghanistan,8 wickets,ICCA Dubai,"Jan 8, 2015",ODI # 3572
Afghanistan,Ireland,Ireland,3 wickets,Dubai (DSC),"Jan 10, 2015",ODI # 3573
New Zealand,Sri Lanka,New Zealand,3 wickets,Christchurch,"Jan 11, 2015",ODI # 3574
Ireland,Scotland,Ireland,3 wickets,Dubai (DSC),"Jan 12, 2015",ODI # 3575
Afghanistan,Scotland,Scotland,150 runs,Abu Dhabi,"Jan 14, 2015",ODI # 3576
New Zealand,Sri Lanka,Sri Lanka,6 wickets,Hamilton,"Jan 15, 2015",ODI # 3577
Australia,England,Australia,3 wickets,Sydney,"Jan 16, 2015",ODI # 3578
South Africa,West Indies,South Africa,61 runs,Durban,"Jan 16, 2015",ODI # 3579
New Zealand,Sri Lanka,no result,,Auckland,"Jan 17, 2015",ODI # 3580
Afghanistan,Ireland,Afghanistan,71 runs,Dubai (DSC),"Jan 17, 2015",ODI # 3581
Australia,India,Australia,4 wickets,Melbourne,"Jan 18, 2015",ODI # 3582
South Africa,West Indies,South Africa,148 runs,Johannesburg,"Jan 18, 2015",ODI # 3583
Ireland,Scotland,no result,,ICCA Dubai,"Jan 19, 2015",ODI # 3584
New Zealand,Sri Lanka,New Zealand,4 wickets,Nelson,"Jan 20, 2015",ODI # 3585
England,India,England,9 wickets,Brisbane,"Jan 20, 2015",ODI # 3586
South Africa,West Indies,South Africa,9 wickets,East London,"Jan 21, 2015",ODI # 3587
New Zealand,Sri Lanka,New Zealand,108 runs,Dunedin,"Jan 23, 2015",ODI # 3588
Australia,England,Australia,3 wickets,Hobart,"Jan 23, 2015",ODI # 3589
New Zealand,Sri Lanka,New Zealand,120 runs,Dunedin,"Jan 25, 2015",ODI # 3590
South Africa,West Indies,West Indies,1 wicket,Port Elizabeth,"Jan 25, 2015",ODI # 3591
Australia,India,no result,,Sydney,"Jan 26, 2015",ODI # 3592
South Africa,West Indies,South Africa,131 runs,Centurion,"Jan 28, 2015",ODI # 3593
New Zealand,Sri Lanka,Sri Lanka,34 runs,Wellington,"Jan 29, 2015",ODI # 3594
England,India,England,3 wickets,Perth,"Jan 30, 2015",ODI # 3595
New Zealand,Pakistan,New Zealand,7 wickets,Wellington,"Jan 31, 2015",ODI # 3596
Australia,England,Australia,112 runs,Perth,"Feb 1, 2015",ODI # 3597
New Zealand,Pakistan,New Zealand,119 runs,Napier,"Feb 3, 2015",ODI # 3598
New Zealand,Sri Lanka,New Zealand,98 runs,Christchurch,"Feb 14, 2015",ODI # 3599
Australia,England,Australia,111 runs,Melbourne,"Feb 14, 2015",ODI # 3600
South Africa,Zimbabwe,South Africa,62 runs,Hamilton,"Feb 15, 2015",ODI # 3601
India,Pakistan,India,76 runs,Adelaide,"Feb 15, 2015",ODI # 3602
Ireland,West Indies,Ireland,4 wickets,Nelson,"Feb 16, 2015",ODI # 3603
New Zealand,Scotland,New Zealand,3 wickets,Dunedin,"Feb 17, 2015",ODI # 3604
Afghanistan,Bangladesh,Bangladesh,105 runs,Canberra,"Feb 18, 2015",ODI # 3605
U.A.E.,Zimbabwe,Zimbabwe,4 wickets,Nelson,"Feb 19, 2015",ODI # 3606
New Zealand,England,New Zealand,8 wickets,Wellington,"Feb 20, 2015",ODI # 3607
Pakistan,West Indies,West Indies,150 runs,Christchurch,"Feb 21, 2015",ODI # 3608
Afghanistan,Sri Lanka,Sri Lanka,4 wickets,Dunedin,"Feb 22, 2015",ODI # 3609
India,South Africa,India,130 runs,Melbourne,"Feb 22, 2015",ODI # 3610
England,Scotland,England,119 runs,Christchurch,"Feb 23, 2015",ODI # 3611
West Indies,Zimbabwe,West Indies,73 runs,Canberra,"Feb 24, 2015",ODI # 3612
Ireland,U.A.E.,Ireland,2 wickets,Brisbane,"Feb 25, 2015",ODI # 3613
Afghanistan,Scotland,Afghanistan,1 wicket,Dunedin,"Feb 26, 2015",ODI # 3614
Bangladesh,Sri Lanka,Sri Lanka,92 runs,Melbourne,"Feb 26, 2015",ODI # 3615
South Africa,West Indies,South Africa,257 runs,Sydney,"Feb 27, 2015",ODI # 3616
New Zealand,Australia,New Zealand,1 wicket,Auckland,"Feb 28, 2015",ODI # 3617
India,U.A.E.,India,9 wickets,Perth,"Feb 28, 2015",ODI # 3618
England,Sri Lanka,Sri Lanka,9 wickets,Wellington,"Mar 1, 2015",ODI # 3619
Pakistan,Zimbabwe,Pakistan,20 runs,Brisbane,"Mar 1, 2015",ODI # 3620
Ireland,South Africa,South Africa,201 runs,Canberra,"Mar 3, 2015",ODI # 3621
Pakistan,U.A.E.,Pakistan,129 runs,Napier,"Mar 4, 2015",ODI # 3622
Australia,Afghanistan,Australia,275 runs,Perth,"Mar 4, 2015",ODI # 3623
Bangladesh,Scotland,Bangladesh,6 wickets,Nelson,"Mar 5, 2015",ODI # 3624
India,West Indies,India,4 wickets,Perth,"Mar 6, 2015",ODI # 3625
Pakistan,South Africa,Pakistan,29 runs,Auckland,"Mar 7, 2015",ODI # 3626
Ireland,Zimbabwe,Ireland,5 runs,Hobart,"Mar 7, 2015",ODI # 3627
New Zealand,Afghanistan,New Zealand,6 wickets,Napier,"Mar 8, 2015",ODI # 3628
Australia,Sri Lanka,Australia,64 runs,Sydney,"Mar 8, 2015",ODI # 3629
Bangladesh,England,Bangladesh,15 runs,Adelaide,"Mar 9, 2015",ODI # 3630
India,Ireland,India,8 wickets,Hamilton,"Mar 10, 2015",ODI # 3631
Scotland,Sri Lanka,Sri Lanka,148 runs,Hobart,"Mar 11, 2015",ODI # 3632
South Africa,U.A.E.,South Africa,146 runs,Wellington,"Mar 12, 2015",ODI # 3633
New Zealand,Bangladesh,New Zealand,3 wickets,Hamilton,"Mar 13, 2015",ODI # 3634
Afghanistan,England,England,9 wickets,Sydney,"Mar 13, 2015",ODI # 3635
India,Zimbabwe,India,6 wickets,Auckland,"Mar 14, 2015",ODI # 3636
Australia,Scotland,Australia,7 wickets,Hobart,"Mar 14, 2015",ODI # 3637
U.A.E.,West Indies,West Indies,6 wickets,Napier,"Mar 15, 2015",ODI # 3638
Ireland,Pakistan,Pakistan,7 wickets,Adelaide,"Mar 15, 2015",ODI # 3639
South Africa,Sri Lanka,South Africa,9 wickets,Sydney,"Mar 18, 2015",ODI # 3640
Bangladesh,India,India,109 runs,Melbourne,"Mar 19, 2015",ODI # 3641
Australia,Pakistan,Australia,6 wickets,Adelaide,"Mar 20, 2015",ODI # 3642
New Zealand,West Indies,New Zealand,143 runs,Wellington,"Mar 21, 2015",ODI # 3643
New Zealand,South Africa,New Zealand,4 wickets,Auckland,"Mar 24, 2015",ODI # 3644
Australia,India,Australia,95 runs,Sydney,"Mar 26, 2015",ODI # 3645
Australia,New Zealand,Australia,7 wickets,Melbourne,"Mar 29, 2015",ODI # 3646
Bangladesh,Pakistan,Bangladesh,79 runs,Dhaka,"Apr 17, 2015",ODI # 3647
Bangladesh,Pakistan,Bangladesh,7 wickets,Dhaka,"Apr 19, 2015",ODI # 3648
Bangladesh,Pakistan,Bangladesh,8 wickets,Dhaka,"Apr 22, 2015",ODI # 3649
Ireland,England,no result,,Dublin (Malahide),"May 8, 2015",ODI # 3650
Pakistan,Zimbabwe,Pakistan,41 runs,Lahore,"May 26, 2015",ODI # 3651
Pakistan,Zimbabwe,Pakistan,6 wickets,Lahore,"May 29, 2015",ODI # 3652
Pakistan,Zimbabwe,no result,,Lahore,"May 31, 2015",ODI # 3653
England,New Zealand,England,210 runs,Birmingham,"Jun 9, 2015",ODI # 3654
England,New Zealand,New Zealand,13 runs,The Oval,"Jun 12, 2015",ODI # 3655
England,New Zealand,New Zealand,3 wickets,Southampton,"Jun 14, 2015",ODI # 3656
England,New Zealand,England,7 wickets,Nottingham,"Jun 17, 2015",ODI # 3657
Bangladesh,India,Bangladesh,79 runs,Dhaka,"Jun 18, 2015",ODI # 3658
England,New Zealand,England,3 wickets,Chester-le-Street,"Jun 20, 2015",ODI # 3659
Bangladesh,India,Bangladesh,6 wickets,Dhaka,"Jun 21, 2015",ODI # 3660
Bangladesh,India,India,77 runs,Dhaka,"Jun 24, 2015",ODI # 3661
Zimbabwe,India,India,4 runs,Harare,"Jul 10, 2015",ODI # 3662
Bangladesh,South Africa,South Africa,8 wickets,Dhaka,"Jul 10, 2015",ODI # 3663
Sri Lanka,Pakistan,Pakistan,6 wickets,Dambulla,"Jul 11, 2015",ODI # 3664
Zimbabwe,India,India,62 runs,Harare,"Jul 12, 2015",ODI # 3665
Bangladesh,South Africa,Bangladesh,7 wickets,Dhaka,"Jul 12, 2015",ODI # 3666
Zimbabwe,India,India,83 runs,Harare,"Jul 14, 2015",ODI # 3667
Bangladesh,South Africa,Bangladesh,9 wickets,Chattogram,"Jul 15, 2015",ODI # 3668
Sri Lanka,Pakistan,Sri Lanka,2 wickets,Pallekele,"Jul 15, 2015",ODI # 3669
Sri Lanka,Pakistan,Pakistan,135 runs,Colombo (RPS),"Jul 19, 2015",ODI # 3670
Sri Lanka,Pakistan,Pakistan,7 wickets,Colombo (RPS),"Jul 22, 2015",ODI # 3671
Sri Lanka,Pakistan,Sri Lanka,165 runs,Hambantota,"Jul 26, 2015",ODI # 3672
Zimbabwe,New Zealand,Zimbabwe,7 wickets,Harare,"Aug 2, 2015",ODI # 3673
Zimbabwe,New Zealand,New Zealand,10 wickets,Harare,"Aug 4, 2015",ODI # 3674
Zimbabwe,New Zealand,New Zealand,38 runs,Harare,"Aug 7, 2015",ODI # 3675
South Africa,New Zealand,South Africa,20 runs,Centurion,"Aug 19, 2015",ODI # 3676
South Africa,New Zealand,New Zealand,8 wickets,Potchefstroom,"Aug 23, 2015",ODI # 3677
South Africa,New Zealand,South Africa,62 runs,Durban,"Aug 26, 2015",ODI # 3678
Ireland,Australia,Australia,23 runs,Belfast,"Aug 27, 2015",ODI # 3679
England,Australia,Australia,59 runs,Southampton,"Sep 3, 2015",ODI # 3680
England,Australia,Australia,64 runs,Lord's,"Sep 5, 2015",ODI # 3681
England,Australia,England,93 runs,Manchester,"Sep 8, 2015",ODI # 3682
England,Australia,England,3 wickets,Leeds,"Sep 11, 2015",ODI # 3683
England,Australia,Australia,8 wickets,Manchester,"Sep 13, 2015",ODI # 3684
Zimbabwe,Pakistan,Pakistan,131 runs,Harare,"Oct 1, 2015",ODI # 3685
Zimbabwe,Pakistan,Zimbabwe,5 runs,Harare,"Oct 3, 2015",ODI # 3686
Zimbabwe,Pakistan,Pakistan,7 wickets,Harare,"Oct 5, 2015",ODI # 3687
Zimbabwe,Ireland,Zimbabwe,2 wickets,Harare,"Oct 9, 2015",ODI # 3688
India,South Africa,South Africa,5 runs,Kanpur,"Oct 11, 2015",ODI # 3689
Zimbabwe,Ireland,Zimbabwe,5 wickets,Harare,"Oct 11, 2015",ODI # 3690
Zimbabwe,Ireland,Ireland,2 wickets,Harare,"Oct 13, 2015",ODI # 3691
India,South Africa,India,22 runs,Indore,"Oct 14, 2015",ODI # 3692
Zimbabwe,Afghanistan,Zimbabwe,8 wickets,Bulawayo,"Oct 16, 2015",ODI # 3693
Zimbabwe,Afghanistan,Afghanistan,58 runs,Bulawayo,"Oct 18, 2015",ODI # 3694
India,South Africa,South Africa,18 runs,Rajkot,"Oct 18, 2015",ODI # 3695
Zimbabwe,Afghanistan,Zimbabwe,6 wickets,Bulawayo,"Oct 20, 2015",ODI # 3696
Zimbabwe,Afghanistan,Afghanistan,3 wickets,Bulawayo,"Oct 22, 2015",ODI # 3697
India,South Africa,India,35 runs,Chennai,"Oct 22, 2015",ODI # 3698
Zimbabwe,Afghanistan,Afghanistan,73 runs,Bulawayo,"Oct 24, 2015",ODI # 3699
India,South Africa,South Africa,214 runs,Mumbai,"Oct 25, 2015",ODI # 3700
Sri Lanka,West Indies,Sri Lanka,1 wicket,Colombo (RPS),"Nov 1, 2015",ODI # 3701
Sri Lanka,West Indies,Sri Lanka,8 wickets,Colombo (RPS),"Nov 4, 2015",ODI # 3702
Bangladesh,Zimbabwe,Bangladesh,145 runs,Dhaka,"Nov 7, 2015",ODI # 3703
Sri Lanka,West Indies,Sri Lanka,19 runs,Pallekele,"Nov 7, 2015",ODI # 3704
Bangladesh,Zimbabwe,Bangladesh,58 runs,Dhaka,"Nov 9, 2015",ODI # 3705
Bangladesh,Zimbabwe,Bangladesh,61 runs,Dhaka,"Nov 11, 2015",ODI # 3706
England,Pakistan,Pakistan,6 wickets,Abu Dhabi,"Nov 11, 2015",ODI # 3707
England,Pakistan,England,95 runs,Abu Dhabi,"Nov 13, 2015",ODI # 3708
U.A.E.,Hong Kong,Hong Kong,89 runs,ICCA Dubai,"Nov 16, 2015",ODI # 3709
England,Pakistan,England,6 wickets,Sharjah,"Nov 17, 2015",ODI # 3710
U.A.E.,Hong Kong,Hong Kong,136 runs,ICCA Dubai,"Nov 18, 2015",ODI # 3711
England,Pakistan,England,84 runs,Dubai (DSC),"Nov 20, 2015",ODI # 3712
Afghanistan,Zimbabwe,Afghanistan,49 runs,Sharjah,"Dec 25, 2015",ODI # 3713
New Zealand,Sri Lanka,New Zealand,7 wickets,Christchurch,"Dec 26, 2015",ODI # 3714
New Zealand,Sri Lanka,New Zealand,10 wickets,Christchurch,"Dec 28, 2015",ODI # 3715
Afghanistan,Zimbabwe,Afghanistan,4 wickets,Sharjah,"Dec 29, 2015",ODI # 3716
New Zealand,Sri Lanka,Sri Lanka,8 wickets,Nelson,"Dec 31, 2015",ODI # 3717
New Zealand,Sri Lanka,no result,,Nelson,"Jan 2, 2016",ODI # 3718
Afghanistan,Zimbabwe,Zimbabwe,117 runs,Sharjah,"Jan 2, 2016",ODI # 3719
Afghanistan,Zimbabwe,Zimbabwe,65 runs,Sharjah,"Jan 4, 2016",ODI # 3720
New Zealand,Sri Lanka,New Zealand,36 runs,Mount Maunganui,"Jan 5, 2016",ODI # 3721
Afghanistan,Zimbabwe,Afghanistan,2 wickets,Sharjah,"Jan 6, 2016",ODI # 3722
Australia,India,Australia,5 wickets,Perth,"Jan 12, 2016",ODI # 3723
Australia,India,Australia,7 wickets,Brisbane,"Jan 15, 2016",ODI # 3724
Australia,India,Australia,3 wickets,Melbourne,"Jan 17, 2016",ODI # 3725
Australia,India,Australia,25 runs,Canberra,"Jan 20, 2016",ODI # 3726
Australia,India,India,6 wickets,Sydney,"Jan 23, 2016",ODI # 3727
New Zealand,Pakistan,New Zealand,70 runs,Wellington,"Jan 25, 2016",ODI # 3728
Hong Kong,Scotland,Hong Kong,109 runs,Mong Kok,"Jan 26, 2016",ODI # 3729
New Zealand,Pakistan,New Zealand,3 wickets,Auckland,"Jan 31, 2016",ODI # 3730
New Zealand,Australia,New Zealand,159 runs,Auckland,"Feb 3, 2016",ODI # 3731
South Africa,England,England,39 runs,Bloemfontein,"Feb 3, 2016",ODI # 3732
New Zealand,Australia,Australia,4 wickets,Wellington,"Feb 6, 2016",ODI # 3733
South Africa,England,England,5 wickets,Port Elizabeth,"Feb 6, 2016",ODI # 3734
New Zealand,Australia,New Zealand,55 runs,Hamilton,"Feb 8, 2016",ODI # 3735
South Africa,England,South Africa,7 wickets,Centurion,"Feb 9, 2016",ODI # 3736
South Africa,England,South Africa,1 wicket,Johannesburg,"Feb 12, 2016",ODI # 3737
South Africa,England,South Africa,5 wickets,Cape Town,"Feb 14, 2016",ODI # 3738
West Indies,South Africa,West Indies,4 wickets,Providence,"Jun 3, 2016",ODI # 3739
West Indies,Australia,Australia,6 wickets,Providence,"Jun 5, 2016",ODI # 3740
Australia,South Africa,South Africa,47 runs,Providence,"Jun 7, 2016",ODI # 3741
Zimbabwe,India,India,9 wickets,Harare,"Jun 11, 2016",ODI # 3742
Australia,South Africa,Australia,36 runs,Basseterre,"Jun 11, 2016",ODI # 3743
Zimbabwe,India,India,8 wickets,Harare,"Jun 13, 2016",ODI # 3744
West Indies,Australia,West Indies,4 wickets,Basseterre,"Jun 13, 2016",ODI # 3745
Zimbabwe,India,India,10 wickets,Harare,"Jun 15, 2016",ODI # 3746
West Indies,South Africa,South Africa,139 runs,Basseterre,"Jun 15, 2016",ODI # 3747
Ireland,Sri Lanka,Sri Lanka,76 runs,Dublin (Malahide),"Jun 16, 2016",ODI # 3748
Ireland,Sri Lanka,Sri Lanka,136 runs,Dublin (Malahide),"Jun 18, 2016",ODI # 3749
Australia,South Africa,no result,,Bridgetown,"Jun 19, 2016",ODI # 3750
England,Sri Lanka,tied,,Nottingham,"Jun 21, 2016",ODI # 3751
West Indies,Australia,Australia,6 wickets,Bridgetown,"Jun 21, 2016",ODI # 3752
England,Sri Lanka,England,10 wickets,Birmingham,"Jun 24, 2016",ODI # 3753
West Indies,South Africa,West Indies,100 runs,Bridgetown,"Jun 24, 2016",ODI # 3754
England,Sri Lanka,no result,,Bristol,"Jun 26, 2016",ODI # 3755
West Indies,Australia,Australia,58 runs,Bridgetown,"Jun 26, 2016",ODI # 3756
England,Sri Lanka,England,6 wickets,The Oval,"Jun 29, 2016",ODI # 3757
England,Sri Lanka,England,122 runs,Cardiff,"Jul 2, 2016",ODI # 3758
Scotland,Afghanistan,no result,,Edinburgh,"Jul 4, 2016",ODI # 3759
Scotland,Afghanistan,Afghanistan,78 runs,Edinburgh,"Jul 6, 2016",ODI # 3760
Ireland,Afghanistan,Afghanistan,39 runs,Belfast,"Jul 12, 2016",ODI # 3761
Ireland,Afghanistan,Ireland,6 wickets,Belfast,"Jul 14, 2016",ODI # 3762
Ireland,Afghanistan,Afghanistan,79 runs,Belfast,"Jul 17, 2016",ODI # 3763
Ireland,Afghanistan,Ireland,12 runs,Belfast,"Jul 19, 2016",ODI # 3764
Scotland,U.A.E.,Scotland,98 runs,Edinburgh,"Aug 14, 2016",ODI # 3765
Scotland,U.A.E.,Scotland,7 wickets,Edinburgh,"Aug 16, 2016",ODI # 3766
Ireland,Pakistan,Pakistan,255 runs,Dublin (Malahide),"Aug 18, 2016",ODI # 3767
Sri Lanka,Australia,Australia,3 wickets,Colombo (RPS),"Aug 21, 2016",ODI # 3768
Sri Lanka,Australia,Sri Lanka,82 runs,Colombo (RPS),"Aug 24, 2016",ODI # 3769
England,Pakistan,England,44 runs,Southampton,"Aug 24, 2016",ODI # 3770
England,Pakistan,England,4 wickets,Lord's,"Aug 27, 2016",ODI # 3771
Sri Lanka,Australia,Australia,2 wickets,Dambulla,"Aug 28, 2016",ODI # 3772
England,Pakistan,England,169 runs,Nottingham,"Aug 30, 2016",ODI # 3773
Sri Lanka,Australia,Australia,6 wickets,Dambulla,"Aug 31, 2016",ODI # 3774
England,Pakistan,England,4 wickets,Leeds,"Sep 1, 2016",ODI # 3775
Sri Lanka,Australia,Australia,5 wickets,Pallekele,"Sep 4, 2016",ODI # 3776
England,Pakistan,Pakistan,4 wickets,Cardiff,"Sep 4, 2016",ODI # 3777
Scotland,Hong Kong,no result,,Edinburgh,"Sep 8, 2016",ODI # 3778
Scotland,Hong Kong,Scotland,53 runs,Edinburgh,"Sep 10, 2016",ODI # 3779
South Africa,Ireland,South Africa,206 runs,Benoni,"Sep 25, 2016",ODI # 3780
Bangladesh,Afghanistan,Bangladesh,7 runs,Dhaka,"Sep 25, 2016",ODI # 3781
Australia,Ireland,Australia,9 wickets,Benoni,"Sep 27, 2016",ODI # 3782
Bangladesh,Afghanistan,Afghanistan,2 wickets,Dhaka,"Sep 28, 2016",ODI # 3783
Pakistan,West Indies,Pakistan,111 runs,Sharjah,"Sep 30, 2016",ODI # 3784
South Africa,Australia,South Africa,6 wickets,Centurion,"Sep 30, 2016",ODI # 3785
Bangladesh,Afghanistan,Bangladesh,141 runs,Dhaka,"Oct 1, 2016",ODI # 3786
South Africa,Australia,South Africa,142 runs,Johannesburg,"Oct 2, 2016",ODI # 3787
Pakistan,West Indies,Pakistan,59 runs,Sharjah,"Oct 2, 2016",ODI # 3788
Pakistan,West Indies,Pakistan,136 runs,Abu Dhabi,"Oct 5, 2016",ODI # 3789
South Africa,Australia,South Africa,4 wickets,Durban,"Oct 5, 2016",ODI # 3790
Bangladesh,England,England,21 runs,Dhaka,"Oct 7, 2016",ODI # 3791
South Africa,Australia,South Africa,6 wickets,Port Elizabeth,"Oct 9, 2016",ODI # 3792
Bangladesh,England,Bangladesh,34 runs,Dhaka,"Oct 9, 2016",ODI # 3793
Bangladesh,England,England,4 wickets,Chattogram,"Oct 12, 2016",ODI # 3794
South Africa,Australia,South Africa,31 runs,Cape Town,"Oct 12, 2016",ODI # 3795
India,New Zealand,India,6 wickets,Dharamsala,"Oct 16, 2016",ODI # 3796
India,New Zealand,New Zealand,6 runs,Delhi,"Oct 20, 2016",ODI # 3797
India,New Zealand,India,7 wickets,Mohali,"Oct 23, 2016",ODI # 3798
India,New Zealand,New Zealand,19 runs,Ranchi,"Oct 26, 2016",ODI # 3799
India,New Zealand,India,190 runs,Visakhapatnam,"Oct 29, 2016",ODI # 3800
Hong Kong,P.N.G.,Hong Kong,106 runs,Mong Kok,"Nov 4, 2016",ODI # 3801
Hong Kong,P.N.G.,P.N.G.,14 runs,Mong Kok,"Nov 6, 2016",ODI # 3802
Hong Kong,P.N.G.,Hong Kong,7 wickets,Mong Kok,"Nov 8, 2016",ODI # 3803
Zimbabwe,Sri Lanka,Sri Lanka,8 wickets,Harare,"Nov 14, 2016",ODI # 3804
Sri Lanka,West Indies,West Indies,62 runs,Harare,"Nov 16, 2016",ODI # 3805
Zimbabwe,West Indies,tied,,Bulawayo,"Nov 19, 2016",ODI # 3806
Zimbabwe,Sri Lanka,no result,,Bulawayo,"Nov 21, 2016",ODI # 3807
Sri Lanka,West Indies,Sri Lanka,1 run,Bulawayo,"Nov 23, 2016",ODI # 3808
Zimbabwe,West Indies,Zimbabwe,5 runs,Bulawayo,"Nov 25, 2016",ODI # 3809
Zimbabwe,Sri Lanka,Sri Lanka,6 wickets,Bulawayo,"Nov 27, 2016",ODI # 3810
Australia,New Zealand,Australia,68 runs,Sydney,"Dec 4, 2016",ODI # 3811
Australia,New Zealand,Australia,116 runs,Canberra,"Dec 6, 2016",ODI # 3812
Australia,New Zealand,Australia,117 runs,Melbourne,"Dec 9, 2016",ODI # 3813
New Zealand,Bangladesh,New Zealand,77 runs,Christchurch,"Dec 26, 2016",ODI # 3814
New Zealand,Bangladesh,New Zealand,67 runs,Nelson,"Dec 29, 2016",ODI # 3815
New Zealand,Bangladesh,New Zealand,8 wickets,Nelson,"Dec 31, 2016",ODI # 3816
Australia,Pakistan,Australia,92 runs,Brisbane,"Jan 13, 2017",ODI # 3817
Australia,Pakistan,Pakistan,6 wickets,Melbourne,"Jan 15, 2017",ODI # 3818
